candidate_id,rank,score,reasoning
CAND_0084283,27,0.867,Junior ML Engineer with 3.6 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 86%) and active on platform.
CAND_0082489,28,0.8647,ML Engineer with 5.3 years experience. Exceptional semantic match with production AI requirements. 
CAND_0015065,29,0.864,AI Research Engineer with 3.9 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 84%) and active on platform.
CAND_0043860,30,0.8575,Junior ML Engineer with 6.1 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 81%) and active on platform.
CAND_0099806,31,0.8568,AI Engineer with 4.6 years experience. Exceptional semantic match with production AI requirements. Marked as Open to Work; good availability.
CAND_0015057,32,0.8554,ML Engineer with 4.6 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 85%) and active on platform.
CAND_0052328,33,0.8537,Recommendation Systems Engineer with 6.5 years experience. Exceptional semantic match with production AI requirements. Marked as Open to Work; good availability.
CAND_0082086,34,0.8537,Senior Software Engineer (ML) with 6.0 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 85%) and active on platform.
CAND_0005509,35,0.8516,Data Scientist with 6.0 years experience. Exceptional semantic match with production AI requirements. Marked as Open to Work; good availability.
CAND_0050553,36,0.8485,ML Engineer with 3.6 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 95%) and active on platform.
CAND_0079550,37,0.8465,AI Specialist with 3.9 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 88%) and active on platform.
CAND_0020877,38,0.8457,Applied ML Engineer with 5.1 years experience. Exceptional semantic match with production AI requirements. 
CAND_0039754,39,0.8399,Senior Applied Scientist with 16.2 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 81%) and active on platform.
CAND_0087316,40,0.8372,AI Research Engineer with 4.1 years experience. Exceptional semantic match with production AI requirements. 
CAND_0093763,41,0.8368,Senior Software Engineer (ML) with 5.0 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 92%) and active on platform.
CAND_0046459,42,0.8343,AI Research Engineer with 4.5 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 84%) and active on platform.
CAND_0068351,43,0.8341,Lead AI Engineer with 6.4 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 86%) and active on platform.
CAND_0096104,44,0.834,AI Specialist with 7.0 years experience. Exceptional semantic match with production AI requirements. Marked as Open to Work; good availability.
CAND_0044883,45,0.8336,AI Engineer with 6.3 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 84%) and active on platform.
CAND_0081852,46,0.8328,Senior Data Scientist with 5.9 years experience. Exceptional semantic match with production AI requirements. Marked as Open to Work; good availability.
CAND_0076096,47,0.8295,Mechanical Engineer with 1.3 years experience. Exceptional semantic match with production AI requirements. 
CAND_0022274,48,0.8292,AI Research Engineer with 4.5 years experience. Exceptional semantic match with production AI requirements. 
CAND_0045824,49,0.8282,Mechanical Engineer with 3.7 years experience. Exceptional semantic match with production AI requirements. 
CAND_0092706,50,0.8278,AI Research Engineer with 5.8 years experience. Exceptional semantic match with production AI requirements. Marked as Open to Work; good availability.
CAND_0073314,51,0.8253,Senior Software Engineer (ML) with 5.2 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 84%) and active on platform.
CAND_0032527,52,0.822,Junior ML Engineer with 3.9 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 81%) and active on platform.
CAND_0098454,53,0.8192,AI Specialist with 6.6 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 87%) and active on platform.
CAND_0066999,54,0.8191,Recommendation Systems Engineer with 5.9 years experience. Exceptional semantic match with production AI requirements. Marked as Open to Work; good availability.
CAND_0068811,55,0.8181,Applied ML Engineer with 8.0 years experience. Exceptional semantic match with production AI requirements. Marked as Open to Work; good availability.
CAND_0022023,56,0.8177,AI Research Engineer with 4.6 years experience. Exceptional semantic match with production AI requirements. Marked as Open to Work; good availability.
CAND_0074590,57,0.8161,Content Writer with 3.0 years experience. Exceptional semantic match with production AI requirements. 
CAND_0030784,58,0.8132,Data Scientist with 4.4 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 90%) and active on platform.
CAND_0086893,59,0.8125,ML Engineer with 3.9 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 90%) and active on platform.
CAND_0082314,60,0.8121,Junior ML Engineer with 4.0 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 86%) and active on platform.
CAND_0067403,61,0.8117,Junior ML Engineer with 4.6 years experience. Exceptional semantic match with production AI requirements. 
CAND_0061257,62,0.8105,Staff Machine Learning Engineer with 8.0 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 87%) and active on platform.
CAND_0072688,63,0.8088,Data Scientist with 6.9 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 87%) and active on platform.
CAND_0018499,64,0.8081,Senior Machine Learning Engineer with 7.2 years experience. Exceptional semantic match with production AI requirements. Marked as Open to Work; good availability.
CAND_0043312,65,0.8072,AI Research Engineer with 4.2 years experience. Exceptional semantic match with production AI requirements. 
CAND_0062247,66,0.8071,AI Engineer with 7.3 years experience. Exceptional semantic match with production AI requirements. Marked as Open to Work; good availability.
CAND_0043450,67,0.8062,AI Research Engineer with 3.3 years experience. Exceptional semantic match with production AI requirements. Marked as Open to Work; good availability.
CAND_0048558,68,0.806,Data Scientist with 6.7 years experience. Exceptional semantic match with production AI requirements. Marked as Open to Work; good availability.
CAND_0052738,69,0.806,Mechanical Engineer with 1.8 years experience. Exceptional semantic match with production AI requirements. 
CAND_0037000,70,0.8058,Search Engineer with 2.7 years experience. Exceptional semantic match with production AI requirements. 
CAND_0022484,71,0.805,Mechanical Engineer with 4.1 years experience. Exceptional semantic match with production AI requirements. Marked as Open to Work; good availability.
CAND_0041669,72,0.805,Recommendation Systems Engineer with 8.0 years experience. Exceptional semantic match with production AI requirements. Marked as Open to Work; good availability.
CAND_0028527,73,0.8037,AI Specialist with 5.4 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 90%) and active on platform.
CAND_0097176,74,0.8034,ML Engineer with 5.9 years experience. Exceptional semantic match with production AI requirements. Marked as Open to Work; good availability.
CAND_0003841,75,0.8021,ML Engineer with 5.0 years experience. Exceptional semantic match with production AI requirements. Marked as Open to Work; good availability.
CAND_0071536,76,0.8011,Mechanical Engineer with 2.8 years experience. Exceptional semantic match with production AI requirements. 
CAND_0043829,77,0.7999,AI Research Engineer with 4.8 years experience. Strong technical background matching key AI/ML skills. Marked as Open to Work; good availability.
CAND_0041594,78,0.799,Computer Vision Engineer with 4.3 years experience. Strong technical background matching key AI/ML skills. Marked as Open to Work; good availability.
CAND_0060054,79,0.7986,AI Engineer with 6.4 years experience. Strong technical background matching key AI/ML skills. Highly responsive (RR: 86%) and active on platform.
CAND_0077337,80,0.7982,Staff Machine Learning Engineer with 7.0 years experience. Strong technical background matching key AI/ML skills. Highly responsive (RR: 95%) and active on platform.
CAND_0019880,81,0.798,AI Specialist with 5.7 years experience. Strong technical background matching key AI/ML skills. Marked as Open to Work; good availability.
CAND_0006418,82,0.7964,Machine Learning Engineer with 5.7 years experience. Strong technical background matching key AI/ML skills. Highly responsive (RR: 92%) and active on platform.
CAND_0031578,83,0.7962,Data Scientist with 3.7 years experience. Strong technical background matching key AI/ML skills. 
CAND_0087630,84,0.7955,AI Engineer with 7.2 years experience. Strong technical background matching key AI/ML skills. 
CAND_0059806,85,0.7947,Software Engineer with 1.2 years experience. Strong technical background matching key AI/ML skills. Highly responsive (RR: 84%) and active on platform.
CAND_0064270,86,0.7941,Applied ML Engineer with 4.2 years experience. Strong technical background matching key AI/ML skills. Highly responsive (RR: 82%) and active on platform.
CAND_0074486,87,0.7934,Computer Vision Engineer with 5.5 years experience. Strong technical background matching key AI/ML skills. 
CAND_0036101,88,0.7928,Mechanical Engineer with 7.0 years experience. Strong technical background matching key AI/ML skills. 
CAND_0074024,89,0.7922,AI Specialist with 3.9 years experience. Strong technical background matching key AI/ML skills. Marked as Open to Work; good availability.
CAND_0012791,90,0.79,Mechanical Engineer with 7.2 years experience. Strong technical background matching key AI/ML skills. 
CAND_0087744,91,0.7895,Senior Software Engineer (ML) with 3.9 years experience. Strong technical background matching key AI/ML skills. Highly responsive (RR: 88%) and active on platform.
CAND_0047907,92,0.7892,AI Research Engineer with 6.6 years experience. Strong technical background matching key AI/ML skills. 
CAND_0094685,93,0.7887,AI Research Engineer with 3.5 years experience. Strong technical background matching key AI/ML skills. Marked as Open to Work; good availability.
CAND_0042029,94,0.7881,Senior Data Scientist with 6.5 years experience. Strong technical background matching key AI/ML skills. 
CAND_0018564,95,0.7879,Software Engineer with 5.4 years experience. Strong technical background matching key AI/ML skills. Highly responsive (RR: 82%) and active on platform.
CAND_0025923,96,0.7871,Senior Software Engineer (ML) with 5.0 years experience. Strong technical background matching key AI/ML skills. Highly responsive (RR: 84%) and active on platform.
CAND_0026942,97,0.7871,Junior ML Engineer with 6.0 years experience. Strong technical background matching key AI/ML skills. Highly responsive (RR: 84%) and active on platform.
CAND_0036437,98,0.7868,Search Engineer with 4.8 years experience. Strong technical background matching key AI/ML skills. Highly responsive (RR: 87%) and active on platform.
CAND_0077552,99,0.7868,Senior Software Engineer (ML) with 3.4 years experience. Strong technical background matching key AI/ML skills. Marked as Open to Work; good availability.
CAND_0000007,100,0.7864,Civil Engineer with 5.5 years experience. Strong technical background matching key AI/ML skills. 
